"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","S4818576","SLD","5403 HARMONY LN","KISSIMMEE","34758","ALLAMANDA GRACE","2,237","$175,000","4","2","0","2000","Private","Single Family Home","$2,942","78","78","78","New Conventional","12/21/2015","$76.89","$78.23","1.02","BHHS RESULTS REALTY","Jeffrey Perry","272500203","Ram Jagarnauth","272550223","272503117","S","Osceola"
"1","O5421436","SLD","141 HARNESS LN","KISSIMMEE","34743","BUENAVENTURA LAKES UNIT 11 ADD 01","1,362","$162,000","3","2","0","1984","None","Single Family Home","$965","6","6","6","New Conventional","04/08/2016","$113.80","$118.94","1.05","ECOS REALTY LLC","Victor Gonzalez Lugo LLC","261210330","Samuel Eckerson","272504054","272507758","O","Orlando Regional"
"1","S4814476","SLD","96 HARNESS LN","KISSIMMEE","34743","BUENAVENTURA LAKES UNIT 11 ADD 02","1,730","$173,000","4","2","0","1986","Private","Single Family Home","$1,141","31","31","31","New FHA","08/03/2015","$99.94","$100.00","1.00","COLDWELL BANKER SOLOMON","Michael Solomon","272500208","Yuri Gomez","50847","272505480","S","Osceola"
"1","O5358266","SLD","3100 HARVEST LN","KISSIMMEE","34744","RUSTIC ACRES UNIT 02","2,014","$222,500","3","2","1","1993","None","Single Family Home","$1,446","29","29","29","New FHA","06/29/2015","$111.67","$110.48","0.99","SUN CREST FLORIDA PROPERTIES","Mary Cubelo-Hinton","261014693","Becca Price","50380","261206484","O","Orlando Regional"
"1","S4724981","SLD","3122 HARVEST LN","KISSIMMEE","34744","RUSTIC ACRES UNIT 2","2,060","$236,000","3","2","0","2000","Private","Single Family Home","$3,158","396","396","411","New FHA","06/04/2015","$120.87","$114.56","0.95","FLORIDA HORIZONS REAL ESTATE","Terry Hawkins","272500318","Brenden Rendo","54321","261207045","S","Osceola"
"1","S4826124","SLD","3130 HARVEST LN","KISSIMMEE","34744","RUSTIC ACRES UNIT 02","1,964","$232,000","3","2","0","1999","None","Single Family Home","$2,112","25","25","25","New Conventional","04/18/2016","$119.60","$118.13","0.99","BEAULIEU REALTY, LLC","Brenda Gooch","261087503","Chris Mondoux","59638","261084528","S","Osceola"
"1","S4818469","SLD","3150 HARVEST LN","KISSIMMEE","34744","RUSTIC ACRES UNIT 03","2,350","$285,000","4","3","0","2000","None","Single Family Home","$2,439","6","6","6","New VA","09/11/2015","$127.66","$121.28","0.95","KELLER WILLIAMS ADVANTAGE III","Michael Moore","272501156","Dennis Hunchuck","50380","261203239","S","Orlando Regional"
"1","O5422488","SLD","125 HARWOOD CIR","KISSIMMEE","34744","REMINGTON PH 01 TR D","2,003","$176,000","3","2","0","1999","Private","Single Family Home","$2,612","9","9","9","All Cash","04/04/2016","$79.88","$87.87","1.10","T REAL ESTATE INC.","Tulio Troche","261084169","Wanda Bido","50900","261095462","O","Orlando Regional"
"1","S4816449","SLD","142 HARWOOD CIR","KISSIMMEE","34744","REMINGTON PH 01 TR D","1,767","$189,000","3","2","0","1998","Private","Single Family Home","$2,756","84","84","84","New FHA","10/23/2015","$101.81","$106.96","1.05","REMAX PREMIER PROPERTIES","Daisy Cid","272501154","Elena Cruz","261011853","261208103","S","Osceola"
"1","S4811870","SLD","146 HARWOOD CIR","KISSIMMEE","34744","REMINGTON PH 01 TR D","1,992","$191,000","4","2","1","1997","Private","Single Family Home","$2,294","41","41","41","Assume FHA/VA","05/22/2015","$95.38","$95.88","1.01","LABABIDI REALTY GROUP","Amer Lababidi","272506261","Amer Lababidi","272506989","272506261","S","Osceola"
