"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5410818","ACT","1109 VAN LIEU ST","KISSIMMEE","34744","OSCEOLA ACRES 2ND ADD","2,732","$220,000","5","3","0","1971","Private","Single Family Home","$1,528","144","144","","","","$80.53","","","CHARLES RUTENBERG REALTY","Mohammed Saifulhuda","261092792","","","","O","Orlando Regional"
"1","O5405942","ACT","1827 VERA DR","SAINT CLOUD","34771","OAKWOOD SHORES","1,426","$151,900","3","2","0","1990","None","Single Family Home","$1,815","131","131","","","","$106.52","","","OWNERS.COM","Steve Sibiga","261201966","","","","O","Orlando Regional"
"1","G4825787","ACT","430 VIRGINIA AVE","SAINT CLOUD","34769","LAKE FRONT ADD","957","$144,900","3","1","1","1977","Private","Single Family Home","$669","38","38","","","","$151.41","","","C21 BLUE SKY REALTY GROUP","Jurgita Ribokaite","260501792","","","","G","Osceola"
"1","O5435838","ACT","2989 VISCOUNT CIR","KISSIMMEE","34747","LINDFIELDS UNIT 02","2,205","$235,000","4","2","1","1990","Private","Single Family Home","$2,690","20","20","","","","$106.58","","","REALTY INTERNATIONAL LLC","Jody Baker","261084364","","","","O","Orlando Regional"
"1","O5422780","ACT","4175 E VISTA CT","KISSIMMEE","34746","ORANGE VISTA UNIT 02","1,714","$160,000","4","2","0","1989","Private","Single Family Home","$1,979","80","80","","","","$93.35","","","RE/MAX MARKETPLACE","Stacey Griffin","377512525","","","","S","Orlando Regional"
"1","S4822148","ACT","4275 W VISTA CT","KISSIMMEE","34746","ORANGE VISTA UNIT 03","1,789","$155,500","3","2","0","1989","Private","Single Family Home","$1,088","709","206","","","","$86.92","","","FIRST FLORIDA INTERNATIONAL PR","Evan Todd","261019775","","","","S","Osceola"
"1","O5431591","ACT","7705 WATER OAK CT","KISSIMMEE","34747","INDIAN RIDGE VILLAS PH 01","1,456","$179,900","3","2","0","1994","Private","Single Family Home","$2,801","32","32","","","","$123.56","","","BHHS RESULTS REALTY","Sean Ferguson","261070162","","","","O","Orlando Regional"
"1","O5436099","ACT","7743 WATER OAK CT","KISSIMMEE","34747","INDIAN RIDGE VILLAS PHASE 1","1,386","$159,900","3","2","0","1995","None","Single Family Home","$2,358","18","18","","","","$115.37","","","KELLER WILLIAMS ADVANTAGE 2","Ray Lopez","261082173","","","","O","Orlando Regional"
"1","S4828967","ACT","2912 WELCOME CIR","KISSIMMEE","34746","PLEASANT HILL HEIGHTS UNIT 01","2,024","$159,900","5","3","0","1990","None","Single Family Home","$2,655","44","44","","","","$79.00","","","DAVIS REAL ESTATE GROUP","Lisa Davis","272500155","","","","S","Osceola"
"1","P4709752","ACT","8661 WELLINGTON LOOP","KISSIMMEE","34747","LINDFIELDS UNIT 2 PB 6 PG 117 LOT281","1,657","$195,000","3","2","0","1991","Private","Single Family Home","$2,450","45","45","","","","$117.68","","","EASY STREET REALTY FLORIDA,INC","Candido Ferreira","255001697","","","","P","Orlando Regional"
"1","O5415772","ACT","3154 WHISPER WIND DR","SAINT CLOUD","34771","LAKE AJAY VILLAGE","2,482","$265,000","4","3","1","1979","None","Single Family Home","$3,704","96","96","","","","$106.77","","","COLDWELL BANKER RESIDENTIAL RE","Alex Vastardis","261063522","","","","O","Orlando Regional"
"1","S4830301","ACT","8050 WHITE CRANE CT","KISSIMMEE","34747","OAK ISLAND HARBOR","2,364","$249,000","4","3","0","1996","Private","Single Family Home","$3,413","12","12","","","","$105.33","","","KELLER WILLIAMS ADVANTAGE III","Deborah Roldan","272505319","","","","S","Orlando Regional"
"1","S4827194","ACT","4463 WHITE OAK CIR","KISSIMMEE","34746","WHISPERING OAKS","1,826","$259,000","4","2","0","1999","Private","Single Family Home","$2,906","82","82","","","","$141.84","","","ROCKER'S REAL ESTATE, LLC","Billy Rocker","272502174","","","","S","Osceola"
"1","S4826644","ACT","3446 WILDERNESS TRL","KISSIMMEE","34746","WILDERNESS UN II PH I","1,834","$205,000","4","2","0","1987","None","Single Family Home","$992","96","96","","","","$111.78","","","LA ROSA REALTY, LLC","Mark Peters","272504241","","","","S","Orlando Regional"
"1","S4830772","ACT","3447 WILDERNESS TRL","KISSIMMEE","34746","WILDERNESS PH 01 UNIT 02","1,357","$169,990","3","2","0","1987","None","Single Family Home","$2,081","3","3","","","","$125.27","","","HOMS REALTY GROUP INC.","Victor Caputis","261209182","","","","S","Orlando Regional"
"1","O5418496","ACT","4724 N WIND BLVD","KISSIMMEE","34746","FOUR WINDS ESTATES","1,987","$259,900","3","2","0","1980","Private","Single Family Home","$2,116","101","101","","","","$130.80","","","NUESTRO REALTY COMPANY","Norma Betancourt","261009375","","","","O","Orlando Regional"
"1","S4830610","ACT","4775 N WIND BLVD","KISSIMMEE","34746","FOUR WINDS ESTATES","2,849","$299,000","4","3","0","1978","Private","Single Family Home","$2,533","7","7","","","","$104.95","","","LA ROSA REALTY LLC","Maureen Fertic","261066288","","","","S","Osceola"
"1","O5429076","ACT","2316 WINDING RIDGE AVE","KISSIMMEE","34741","SHADOW BAY UNIT 01","1,274","$169,900","3","2","0","1984","None","Single Family Home","$592","51","51","","","","$133.36","","","KELLER WILLIAMS ADVANTAGE 2","Daniel Schmaltz","261074739","","","","O","Orlando Regional"
"1","A4142042","ACT","2323 WINDSONG DR","KISSIMMEE","34741","SHADOW BAY UNIT 01","1,851","$258,000","3","2","1","1984","Private","Single Family Home","$1,262","310","126","","","","$139.38","","","FLATFEE.COM","Cliff Glansen","278017259","","","","A","Sarasota - Manatee"
"1","S4824689","ACT","4745 WINDWOOD DR","KISSIMMEE","34746","WINDWARD CAY UNIT 02","2,414","$238,500","4","4","1","1996","Private","Single Family Home","$3,199","128","128","","","","$98.80","","","PALM BLUE REALTY LLC","Marcos Peres","272507182","","","","S","Osceola"
"1","S4814733","ACT","2413 WINFIELD DR","KISSIMMEE","34743","WESTLAKE HAMMOCK","1,693","$189,900","3","2","0","1995","None","Single Family Home","$1,045","369","369","","","","$112.17","","","SUNQUEST INVESTMENT REALTY LLC","Rajesh Kandhai","272501115","","","","S","Osceola"
"1","S4830219","ACT","612 WISTERIA LN","CELEBRATION","34747","CELEBRATION LAKE EVALYN","1,867","$467,400","3","2","1","1997","Community","Single Family Home","$4,257","15","15","","","","$250.35","","","KELLER WILLIAMS AT THE LAKES","Michael Crawford","272505505","","","","S","Osceola"
"1","S4826538","ACT","620 WISTERIA LN","CELEBRATION","34747","CELEBRATION LAKE EVALYN","1,636","$399,000","3","2","1","1997","Community","Single Family Home","$5,273","99","99","","","","$243.89","","","TONYDAVIDSHOMES.COM, LLC","Richard Stephan","272504940","","","","S","Osceola"
"1","S4826539","ACT","622 WISTERIA LN","CELEBRATION","34747","CELEBRATION LAKE EVALYN","1,867","$419,000","3","2","1","1997","Community","Single Family Home","$4,079","99","99","","","","$224.42","","","TONYDAVIDSHOMES.COM, LLC","Richard Stephan","272504940","","","","S","Osceola"
"1","S4830299","ACT","1445 WOOD LAKE CIR","SAINT CLOUD","34772","CANOE CREEK WOODS UNIT 01","1,811","$218,000","3","2","0","1989","Private","Single Family Home","$1,557","12","12","","","","$120.38","","","WEICHERT REALTORS HALLMARK PRO","Michael Camel","272507126","","","","S","Osceola"
"1","S4826237","ACT","4590 YORKSHIRE LN","KISSIMMEE","34758","COUNTRY SIDE MANOR","2,576","$339,000","4","3","0","1995","Private","Single Family Home","$2,629","104","104","","","","$131.60","","","CHANGING LATITUDES REAL ESTATE","Carrie Courtney","272503418","","","","S","Osceola"
"1","S4830780","ACT","702 YUCATAN CT","KISSIMMEE","34758","POINCIANA VILLAGE 01 NEIGHBORHOOD 01 SOUTH","1,035","$117,900","3","2","0","1987","None","Single Family Home","$1,437","5","5","","","","$113.91","","","REMAX PIONEER","Wilma Stub","272501645","","","","S","Osceola"
"1","S4830724","ACT","711 YUCATAN CT","KISSIMMEE","34758","POINCIANA VILLAGE 01 NEIGHBORHOOD 01 SOUTH","1,753","$139,900","4","2","0","1987","Community","Single Family Home","$1,784","4","4","","","","$79.81","","","WEICHERT REALTORS HALLMARK PRO","Mary Clevenger","272500284","","","","S","Orlando Regional"
"1","O5420097","ACT","1145 ZACHARY RIDGE CT","KISSIMMEE","34747","INDIAN RIDGE UNIT 05","2,037","$215,000","4","2","0","1993","Community, Private","Single Family Home","$3,167","282","93","","","","$105.55","","","LA ROSA REALTY, LLC","Thomas Staples","261092359","","","","O","Orlando Regional"
