"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5425596","ACT","1623 10TH ST","SAINT CLOUD","34769","ST CLOUD","1,265","$140,000","3","2","0","1979","None","Single Family Home","$1,256","68","68","","","","$110.67","","","BHHS RESULTS REALTY","Marie Collins, PA","272500295","","","","O","Osceola"
"1","S4822408","ACT","213 10TH ST","SAINT CLOUD","34769","ST CLOUD","2,532","$144,990","4","2","1","1947","None","Single Family Home","$898","348","200","","","","$57.26","","","FLORIDA BUYERS REALTY, LLC","Juliet Thelwell-Romney","261083045","","","","S","Osceola"
"1","S4830790","ACT","2323 10TH ST","SAINT CLOUD","34769","ST CLOUD","1,462","$154,900","3","2","0","1969","None","Single Family Home","$977","3","3","","","","$105.95","","","REMAX PREMIER PROPERTIES","Claudia Panameno Ahmady","272503568","","","","S","Osceola"
"1","O5422007","ACT","421 10TH ST","SAINT CLOUD","34769","ST CLOUD","1,480","$119,900","2","2","0","1985","Private","Single Family Home","$634","13","13","","","","$81.01","","","KELLER WILLIAMS CLASSIC REALTY","Jay Heckendorn-Telenda","207087589","","","","O","Orlando Regional"
"1","O5365149","ACT","3720 5TH ST","SAINT CLOUD","34769","SEMINOLE LAND & INV CO","1,008","$350,000","2","2","0","1957","None","Single Family Home","$197","926","373","","","","$347.22","","","BHHS RESULTS REALTY","Rose Beavers","261001249","","","","O","Orlando Regional"
"1","S4721738","ACT","875 ABSHER LN","SAINT CLOUD","34771","NEW MAP OF NARCOOSSEE","2,626","$1,050,000","4","3","0","1980","Private","Single Family Home","$7,701","858","858","","","","$399.85","","","BHHS RESULTS REALTY","Teresa Reilly-O'Doherty","261065070","","","","S","Osceola"
"1","S4829475","ACT","229 ACADIA TER","CELEBRATION","34747","CELEBRATION NORTH VILLAGE UNIT 02","4,154","$1,125,000","4","4","1","1999","Private","Single Family Home","$16,550","205","32","","","","$270.82","","","IMAGINATION REALTY, INC","Kathleen Carlson","248001204","","","","S","Osceola"
"1","S4829635","ACT","696 ADRIANE PARK CIR","KISSIMMEE","34744","ADRIANE PARK","2,330","$259,500","3","3","0","1990","None","Single Family Home","$2,455","23","23","","","","$111.37","","","HOMEPRIDE REALTY SERVICES, INC","Steve Pugh","261062414","","","","S","Osceola"
"1","S4811444","ACT","4370 ALBRITTON RD","SAINT CLOUD","34772","SEMINOLE LAND & INV CO","2,400","$575,000","4","4","0","1993","Private","Single Family Home","$6,292","439","439","","","","$239.58","","","BHHS RESULTS REALTY","Teresa Reilly-O'Doherty","261065070","","","","S","Osceola"
"1","O5377262","ACT","4410 ALBRITTON RD","SAINT CLOUD","34772","SEMINOLE LAND & INV CO","8,919","$1,674,000","5","6","1","1989","Private","Single Family Home","$11,730","318","318","","","","$187.69","","","PREMIER SOTHEBY'S INT'L REALTY","Andrea Byrge","261211924","","","","O","Orlando Regional"
