"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5360543","SLD","10 N 10TH ST","HAINES CITY","33844","HAINES CITY","1,704","$40,000","5","3","0","1925","None","Single Family Home","$2,014","61","61","56","All Cash","06/15/2015","$29.81","$23.47","0.79","FELIX REALTY","Kenny Felix","272502512","Kenny Felix","261011521","272502512","O","Orlando Regional"
"1","T2758453","SLD","160 10TH DR","MULBERRY","33860","HAYNSWORTH HEIGHTS","1,039","$78,900","3","1","0","1952","None","Single Family Home","$253","109","109","109","New FHA","10/16/2015","$75.94","$75.94","1.00","KELLER WILLIAMS-PLANT CITY","Heather Campbell","261530794","Velvet Green","305901","265500946","T","Tampa"
"1","P4704755","SLD","1600 10TH ST SE","WINTER HAVEN","33880","COOPER ESTATES","1,837","$134,000","2","2","1","1962","None","Single Family Home","$1,123","12","12","12","All Cash","05/18/2015","$76.16","$72.95","0.96","JUDY B CLEAVES PROPERTIES INC","Chris Goode","255001669","Chris Goode","10253","255001669","P","East Polk"
"1","K4700818","SLD","637 S 10TH ST","LAKE WALES","33853","LAKE WALES TERRACE SUB","783","$26,000","2","1","0","1945","None","Single Family Home","$522","56","56","56","All Cash","04/12/2016","$37.04","$33.21","0.90","PLANTATION INN REALTY","Julie Stewart","265000111","Julie Stewart","10288","265000111","K","Lake Wales"
"1","L4709499","SLD","703 10TH AVE","MULBERRY","33860","VC ADD","1,230","$26,100","3","1","0","1955","None","Single Family Home","$1,349","275","62","62","All Cash","12/23/2015","$29.84","$21.22","0.71","COLDWELL BANKER RESIDENTIAL RE","Teresa Knowles","265500110","Barb Hoffman","305901","265500424","L","Lakeland"
"1","L4709824","SLD","704 10TH AVE","MULBERRY","33860","ACREAGE & UNREC","1,500","$115,000","4","1","0","1954","None","Single Family Home","$1,644","3","3","3","USDA","12/08/2015","$76.67","$76.67","1.00","KELLER WILLIAMS REALTY","Christina Moore","265505713","Christina Harrell","265502292","265577819","L","Lakeland"
"1","P4707392","SLD","929 N 10TH ST","EAGLE LAKE","33839","MAEBERT SUB","1,040","$79,000","3","2","0","1956","None","Single Family Home","$1,296","134","134","134","New FHA","02/29/2016","$81.63","$75.96","0.93","BHHS FLORIDA PROPERTIES GRP","Joann Warren","255000115","Joann Warren","265502292","255000115","P","Lakeland"
"1","P4704599","SLD","1798 11TH ST NE","WINTER HAVEN","33881","TANGERINE PKWY","1,690","$85,000","3","2","0","1959","None","Single Family Home","$599","6","6","6","All Cash","05/21/2015","$52.66","$50.30","0.96","BROKERS REALTY OF CENTRAL FLOR","Renee Butler","255000107","Darlene Bice","10013","255001414","P","East Polk"
"1","L4707053","SLD","2030 11TH ST NW","WINTER HAVEN","33881","ALDORO PARK UNIT 03 REP","1,615","$54,000","3","2","0","1952","None","Single Family Home","$1,073","16","16","16","All Cash","06/30/2015","$37.09","$33.44","0.90","BHHS Florida Properties Grp","Randall Benton, PA","265500376","Othner St. Fleurose","255000510","255000910","L","Lakeland"
"1","L4708776","SLD","960 N 11TH ST N","EAGLE LAKE","33839","LAKE MCLEOD HILLS","1,515","$107,000","3","2","0","1981","None","Single Family Home","$817","27","27","27","USDA","12/04/2015","$71.29","$70.63","0.99","LA ROSA REALTY, LLC","Jill Caldera","265501429","Susan Rohlfing","255000512","255000767","L","Orlando Regional"
