"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5420337","SLD","782 VIA MILANO","APOPKA","32712","VILLA CAPRI","1,423","$206,500","3","2","0","1995","Private","Single Family Home","$1,766","22","22","22","Assume FHA/VA","04/12/2016","$156.01","$145.12","0.93","RE/MAX DOWNTOWN","Phil Coffaro","261073115","John Pappadis","54599","261211370","O","Orlando Regional"
"1","O5353820","SLD","14812 VIA WINGHURST CT","ORLANDO","32828","KINGS POINTE","2,994","$260,504","4","3","0","2000","None","Single Family Home","$5,262","33","33","125","All Cash","09/04/2015","$83.33","$87.01","1.04","Owners.com","Steve Sibiga","261201966","Blake Messina","50923","259504279","O","Orlando Regional"
"1","O5396700","SLD","14812 VIA WINGHURST CT","ORLANDO","32828","KINGS POINTE","2,994","$354,000","5","3","0","2000","Community","Single Family Home","$5,208","170","170","143","New Conventional","03/29/2016","$122.88","$118.24","0.96","KELLER WILLIAMS CLASSIC RLTY V","Allegra Veal","261212005","Lynn Ganster, PA","50087","261083121","O","Orlando Regional"
"1","O5359752","SLD","14207 VIBURNUM LN","ORLANDO","32828","WATERFORD CHASE VILLAGE TR C3","2,050","$275,000","4","2","0","2000","Private","Single Family Home","$2,478","7","7","7","New FHA","06/03/2015","$139.46","$134.15","0.96","RE/MAX TOWN & COUNTRY REALTY","Denise McKinley","261082636","Cassie Lamoureux","56128","261203659","O","Orlando Regional"
"1","O5406358","SLD","14237 VIBURNUM LN","ORLANDO","32828","WATERFORD CHASE VILLAGE TR C3","1,956","$236,000","4","2","0","2000","None","Single Family Home","$3,378","143","43","5","New Conventional","01/06/2016","$121.93","$120.65","0.99","MS LAND & BUILDING LLC","Avi Maganda","261069927","Amal Mazouzi","54864","261085075","O","Orlando Regional"
"1","S4820041","SLD","14315 VIBURNUM LN","ORLANDO","32828","WATERFORD CHASE VILLAGE TR C3","1,762","$225,000","4","2","0","2000","None","Single Family Home","$1,858","20","20","20","New FHA","10/30/2015","$130.42","$127.70","0.98","DECONOVA INTERNATIONAL REALTY","Jose Collado","272506125","Rusty Melle, II","268007552","282012310","S","Orlando Regional"
"1","O5407613","SLD","14351 VIBURNUM LN","ORLANDO","32828","WATERFORD CHASE VILLAGE TR C3","1,953","$235,000","3","2","0","2000","Private","Single Family Home","$2,537","45","45","56","New FHA","03/04/2016","$140.81","$120.33","0.85","PREFERRED REAL ESTATE BROKERS","Irene Fort","261082758","Irene Fort","261013043","261082758","O","Orlando Regional"
"1","O5383724","SLD","1163 VICKERS LAKE DR","OCOEE","34761","SILVER GLEN PH 02 VILLAGE 01","3,481","$249,900","5","3","0","1996","None","Single Family Home","$4,055","25","25","25","New Conventional","10/15/2015","$71.79","$71.79","1.00","CHARLES RUTENBERG REALTY","Paul Larson","261200934","Norma Lipscomb","261010789","261208927","O","Orlando Regional"
"1","O5397296","SLD","7305 VICTORIA CIR","ORLANDO","32835","OAK MEADOW PD PH 03 REP","1,791","$182,000","4","2","0","1990","None","Single Family Home","$1,292","123","8","8","New Conventional","12/03/2015","$102.68","$101.62","0.99","CENTURY 21 CARIOTI","Betsy Santiago","261213395","Edris Moussard","51019","261209706","O","Orlando Regional"
"1","O5371140","SLD","7333 VICTORIA CIR","ORLANDO","32835","OAK MEADOWS","1,350","$176,000","3","2","0","1991","None","Single Family Home","$1,220","8","8","8","New FHA","08/05/2015","$129.56","$130.37","1.01","CENTURY 21 CARIOTI","Faneeza Mohamed","261072715","Kathleen Mahoney","272503786","272501400","O","Orlando Regional"
"1","O5396683","SLD","7042 VILLA ESTELLE DR","ORLANDO","32819","SPRING LAKE VILLAS","1,465","$240,000","3","2","0","1986","None","Single Family Home","$2,171","10","10","10","Other","01/04/2016","$163.82","$163.82","1.00","PREMIER REALTY PARTNERS INC","Lindsey Pfaender","261211578","Charles Hwang","56969","261093315","O","Orlando Regional"
"1","O5393606","SLD","8607 VILLA NOVA ST","ORLANDO","32817","HARBOR EAST UNIT 01","1,768","$222,500","4","2","0","1980","Private","Single Family Home","$1,640","3","3","3","New Conventional","11/09/2015","$130.03","$125.85","0.97","EXIT REALTY CENTRAL","Linda Bokland","261211909","Linda Bokland","261012258","261211909","O","Orlando Regional"
"1","O5381036","SLD","4532 VILLAGE WOOD DR","ORLANDO","32835","WOODLANDS VILLAGE","2,912","$341,000","4","3","0","1987","Private","Single Family Home","$4,573","5","5","5","New Conventional","08/31/2015","$120.18","$117.10","0.97","PREMIER REALTY PARTNERS INC","Sherry Duvall","261061873","Maria Castro Aversano","272503122","085814324","O","Orlando Regional"
"1","O5421988","SLD","8606 VILLANOVA ST","ORLANDO","32817","HARBOR EAST UNIT 01","2,368","$244,500","3","2","0","1988","None","Single Family Home","$3,638","5","5","5","New Conventional","04/13/2016","$103.25","$103.25","1.00","ARMEL REAL ESTATE INC","Deanna Armel","261204149","Melissa Caporale","261012046","261213920","O","Orlando Regional"
"1","O5409126","SLD","2797 VINE ST","ORLANDO","32806","BEL AIR TERRACE","1,846","$319,900","3","2","0","1966","Private","Single Family Home","$2,290","19","19","20","New Conventional","02/03/2016","$173.29","$173.29","1.00","WILLIAM WHITE SNYDER II, PA","William Snyder, II","261071567","Adam Judd","261011626","261201667","O","Orlando Regional"
"1","O5365395","SLD","2801 VINE ST","ORLANDO","32806","CRYSTAL HOMES SUB","2,589","$355,000","5","3","0","1957","Private","Single Family Home","$3,963","8","8","8","New Conventional","07/29/2015","$139.01","$137.12","0.99","SAVVY PROPERTIES LLC","Peter Duke","261206386","Garry Coleman","54257","261015668","O","Orlando Regional"
"1","O5375840","SLD","3100 VINE ST","ORLANDO","32806","CRYSTAL HOMES SUB","1,425","$255,000","3","2","0","1957","Private","Single Family Home","$2,597","1","1","1","New Conventional","09/22/2015","$192.91","$178.95","0.93","RE/MAX 200 REALTY","Abby Nelson","261085331","Abby Nelson","52403","261085331","O","Orlando Regional"
"1","G4824208","SLD","655 VINE CT","APOPKA","32703","CHARTER OAKS","1,652","$179,000","3","2","0","1985","Private","Single Family Home","$941","2","2","2","New FHA","04/22/2016","$108.90","$108.35","1.00","ROCK SPRINGS REALTY, LLC","Joel Bornstein","260502009","David Crago","261011133","261203071","G","Lake and Sumter"
