"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5432264","SLD","1656 BOULDER CREEK CT","APOPKA","32712","WEKIVA PARK","1,292","$143,500","3","2","0","1993","Private","Single Family Home","$1,173","1","1","1","All Cash","04/27/2016","$111.07","$111.07","1.00","COLDWELL BANKER RESIDENTIAL RE","Sandy Palkovic","261082914","Collie Hendrickson","54817D","260503335","O","Orlando Regional"
"1","O5414786","SLD","13238 BOULDER WOODS CIR","ORLANDO","32824","MEADOW WOODS VILLAGE 10","1,216","$160,000","2","2","0","1990","None","Single Family Home","$2,212","74","59","59","New VA","04/26/2016","$131.17","$131.58","1.00","CHARLES RUTENBERG REALTY","Jose Rodriguez","261086339","James Rouadi","261010496","261202147","O","Orlando Regional"
"1","O5381288","SLD","1707 BOXENEY DR","ORLANDO","32837","SOUTHCHASE UNIT 04","1,184","$160,000","3","2","0","1992","None","Single Family Home","$1,382","13","13","3","New FHA","08/03/2015","$135.14","$135.14","1.00","LA ROSA REALTY, LLC","Joyce Tang","272503685","Kathy Crum","272504193","261093074","O","Orlando Regional"
"1","O5358149","SLD","6312 BOYER ST","ORLANDO","32810","WESTLAKE UNIT 01","1,874","$140,000","4","2","0","1999","None","Single Family Home","$1,265","4","4","4","New FHA","02/09/2016","$74.71","$74.71","1.00","KELLER WILLIAMS ADVANTAGE III","Zahide Wallace","261204422","Veronica Ochoa","272550255","272502509","O","Orlando Regional"
"1","O5377708","SLD","6324 BOYLSTON WAY","ORLANDO","32818","BEACON HILL","1,519","$83,500","4","2","0","1980","None","Single Family Home","$917","38","38","62","All Cash","09/30/2015","$59.18","$54.97","0.93","ALL FLORIDA PROPERTY GROUP INC","Ronald Stafford","268007471","Beerly Bruno","261011762","261093094","O","Orlando Regional"
"1","O5360286","SLD","6336 BOYLSTON WAY","ORLANDO","32818","BEACON HILL","1,652","$87,000","4","2","0","1980","None","Single Family Home","$1,620","13","13","28","All Cash","06/05/2015","$66.53","$52.66","0.79","CHARLES RUTENBERG REALTY","Dan Cummings","261071201","Lindsey Harris","50554","261211987","O","Orlando Regional"
"1","O5368622","SLD","8622 BRACKENWOOD DR","ORLANDO","32829","CHICKASAW OAKS PH 01","1,136","$98,844","3","2","0","1983","None","Single Family Home","$1,884","79","79","90","All Cash","09/30/2015","$98.50","$87.01","0.88","Owners.com","Steve Sibiga","261201966","Troy Eggleston","261010669","261089936","O","Orlando Regional"
"1","O5404443","SLD","8622 BRACKENWOOD DR","ORLANDO","32829","CHICKASAW OAKS PH 01","1,136","$160,000","3","2","0","1983","None","Single Family Home","$2,130","5","5","5","New Conventional","01/25/2016","$144.28","$140.85","0.98","HOME PRO REALTY CORP.","Alex Bogumil","261200778","Alex Bogumil","50845","261200778","O","Orlando Regional"
"1","O5389492","SLD","8630 BRACKENWOOD DR","ORLANDO","32829","CHICKASAW OAKS PH 01","1,264","$118,000","2","2","0","1983","None","Single Family Home","$1,955","16","16","16","All Cash","09/30/2015","$98.81","$93.35","0.94","CT HOMES REALTY CORPORATION","Jose Costa","261207134","Binette Espinel","50278","261211050","O","Orlando Regional"
"1","O5208237","SLD","8685 BRACKENWOOD DR","ORLANDO","32829","CHICKASAW OAKS PH 1","1,323","$120,000","3","2","0","1983","None","Single Family Home","$1,269","390","390","546","All Cash","09/04/2015","$95.24","$90.70","0.95","FLORIDA REAL ESTATE ASSOCIATES","Tony Scott","261067957","Lindsey Harris","50554","261211987","O","Orlando Regional"
