"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","L4706682","SLD","1410 PARKER RD","LAKELAND","33811","ACREAGE & UNREC","1,305","$80,000","3","1","0","1961","None","Single Family Home","$634","29","29","29","New FHA","07/31/2015","$65.13","$61.30","0.94","OLIVE BRANCH REALTY","Cyndi McPeek","265501363","Debbie Edwards","771557","261503656","L","Lakeland"
"1","L4710587","SLD","1710 PARKER RD","LAKELAND","33811","HARDENOAK","1,225","$128,405","3","2","0","1985","None","Single Family Home","$799","4","4","4","New FHA","01/29/2016","$102.04","$104.82","1.03","KELLER WILLIAMS REALTY","Glenn Offutt","265501489","Brian Stephens","265500286","265500392","L","Lakeland"
"1","T2812419","SLD","375 W PARKER ST","BARTOW","33830","STANLEY & TYLERS","840","$26,500","2","1","0","1920","None","Single Family Home","$580","4","4","4","All Cash","05/05/2016","$35.60","$31.55","0.89","SPIN REAL ESTATE LLC","Kenneth Stillwell","261548768","Richard Saunders","265500275","265500992","T","Tampa"
"1","L4709924","SLD","2219 PARKLAND DR","LAKELAND","33811","WEST OAKS","1,871","$95,000","3","2","0","1987","None","Single Family Home","$1,079","136","136","136","All Cash","03/28/2016","$56.07","$50.77","0.91","COLDWELL BANKER RESIDENTIAL RE","Frank Bazail","265500941","Ulric Dunbar, III","328701","265500136","L","Lakeland"
"1","L4705920","SLD","2263 PARKLAND DR","LAKELAND","33811","WEST OAKS SUB","1,623","$165,000","3","2","0","1991","None","Single Family Home","$1,104","1","1","5","New Conventional","05/22/2015","$98.58","$101.66","1.03","KELLER WILLIAMS REALTY","Jen Lysak","265501435","Dawna Stone","265578073","265501454","L","Lakeland"
"1","L4710483","SLD","2332 PARKLAND DR","LAKELAND","33811","WEST OAKS SUB","1,818","$164,000","4","2","0","1992","Private","Single Family Home","$2,481","73","73","73","New FHA","03/10/2016","$89.38","$90.21","1.01","KELLER WILLIAMS REALTY","Gavin Welch","261208527","John Preston","265500286","265501410","L","Lakeland"
"1","L4708604","SLD","5236 PARKLAND CT","LAKELAND","33811","WEST OAKS","1,496","$146,000","3","2","0","1987","None","Single Family Home","$2,169","95","95","95","New FHA","01/13/2016","$100.20","$97.59","0.97","KELLER WILLIAMS REALTY","Russ Rhoads","265500372","Brandon Eady","265500286","265522761","L","Lakeland"
"1","P4701378","SLD","1556 PARKS LAKE RD","LAKE WALES","33898","MOHAWK GROVES","2,163","$234,500","3","2","0","1975","None","Single Family Home","$1,047","227","227","227","All Cash","05/29/2015","$113.27","$108.41","0.96","STACEY TOWNS REALTY LLC","Stacey Towns","255001015","Maggie Olivera","50786","265501148","P","East Polk"
"1","P4708831","SLD","1660 PARKS LAKE RD","LAKE WALES","33898","TEMPLETON GROVES & VILLA","1,514","$150,000","3","2","0","1996","None","Single Family Home","$1,766","23","23","23","All Cash","03/04/2016","$105.35","$99.08","0.94","BROKERS REALTY OF CENTRAL FLOR","Renee Butler","255000107","Martha Frenette","276593559","261069300","P","East Polk"
"1","R4702985","SLD","216 PARKSIDE DR","WINTER HAVEN","33884","ELOISE WOODS LAKE ROY UNIT","1,541","$71,400","3","1","1","1960","None","Single Family Home","$882","34","34","34","All Cash","10/09/2015","$46.33","$46.33","1.00","FRANK F. KENNEY","Frank Kenney","35840088","NON MFR REALTOR","55055","123456789","R","Other"
