"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","L4713339","ACT","1120 W 10TH ST","LAKELAND","33805","PARKLAND ADD","1,854","$69,900","3","2","0","1978","None","Single Family Home","$193","10","10","","","","$37.70","","","KELLER WILLIAMS REALTY","Gate Arty","265500397","","","","L","Lakeland"
"1","T2814910","ACT","1033 W 12TH ST","LAKELAND","33805","PARKLAND ADD","1,008","$78,800","3","1","0","1953","None","Single Family Home","$896","19","19","","","","$78.17","","","DEMILLE REALTY","Gary Miller","207088959","","","","T","Tampa"
"1","P4709499","ACT","227 N 12TH ST","HAINES CITY","33844","HIGHWAY ADD","848","$55,000","2","1","0","1925","None","Single Family Home","$845","64","64","","","","$64.86","","","STACEY TOWNS REALTY LLC","Stacey Towns","255001015","","","","P","East Polk"
"1","P4710059","ACT","1984 13TH ST NW","WINTER HAVEN","33881","ALDORO PARK REP","1,345","$134,900","3","2","0","1960","Private","Single Family Home","$1,375","25","25","","","","$100.30","","","HOMERUN REALTY OF C.F.I.","Teresa Markley","255000102","","","","P","East Polk"
"1","T2775204","ACT","1126 W 14TH ST","LAKELAND","33805","PROVIDENCE PARK","1,196","$85,000","3","2","0","1928","None","Single Family Home","$844","212","212","","","","$71.07","","","REALTY2000PA.COM,INC","Janet Swilley","261506278","","","","T","Tampa"
"1","S4826953","ACT","120 S 1ST ST","HAINES CITY","33844","ELSIE TERRACE SUB","1,560","$159,900","2","2","0","1925","None","Single Family Home","$794","89","89","","","","$102.50","","","LATIN CONNECTION REALTY GROUP","Claudia Martinez","261072819","","","","S","Osceola"
"1","P4709915","ACT","111 N 20TH ST","HAINES CITY","33844","WASOTA PARK ADD","1,275","$126,500","3","2","0","1989","None","Single Family Home","$1,234","33","33","","","","$99.22","","","I THINK REALTY, LLC","Maria Maya","255000682","","","","P","East Polk"
"1","P4710358","ACT","2800 21ST ST NW","WINTER HAVEN","33881","EAGLES LANDING","2,191","$111,000","3","2","0","1958","Community","Single Family Home","$2,286","5","5","","","","$50.66","","","NORRIS & COMPANY REALTY, LLC","Scott Kline","255000138","","","","P","East Polk"
"1","P4709656","ACT","290 21ST ST SW","WINTER HAVEN","33880","WEST WINTER HAVEN","1,352","$124,900","2","2","0","1960","None","Single Family Home","$256","21","21","","","","$92.38","","","ACTION REALTY OF POLK COUNTY","Donna Sealy","255000634","","","","P","East Polk"
"1","P4710363","ACT","914 25TH ST NW","WINTER HAVEN","33881","INWOOD","1,328","$75,000","3","2","0","1954","None","Single Family Home","$855","5","5","","","","$56.48","","","BY DESIGN REAL ESTATE SERVICES","Sweetpea Sasinek","265000071","","","","P","East Polk"
"1","S4824011","ACT","1312 28TH ST NW","WINTER HAVEN","33881","INWOOD","1,032","$79,999","3","1","0","1952","None","Single Family Home","$773","162","162","","","","$77.52","","","NATIONAL REAL ESTATE LLC","Adan Ordonez","260502419","","","","S","Osceola"
