"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5410914","ACT","212 W 18TH ST","SANFORD","32771","SANFORD HEIGHTS","1,724","$169,900","2","1","0","1922","None","Single Family Home","$2,392","127","127","","","","$98.55","","","EGS REAL ESTATE INC","Ginny Stallings","272500137","","","","O","Orlando Regional"
"1","O5419913","ACT","110 1ST ST","CHULUOTA","32766","NORTH CHULUOTA","1,812","$229,900","3","2","0","1972","None","Single Family Home","$1,835","80","80","","","","$126.88","","","FLORIDA REALTY INVESTMENTS","Phan Okanishi","261203506","","","","O","Orlando Regional"
"1","A4146623","ACT","1407 W 1ST ST","SANFORD","32771","SANFORD TOWN OF","1,230","$118,300","2","1","0","1926","None","Single Family Home","$1,177","82","82","","","","$96.18","","","XLN REALTY, LLC","Barry Segal","278524590","","","","A","Sarasota - Manatee"
"1","O5401399","ACT","410 E 25TH PL","SANFORD","32773","PALM TERRACE","1,110","$89,900","3","1","0","1942","None","Single Family Home","$1,387","197","197","","","","$80.99","","","COLDWELL BANKER RESIDENTIAL RE","Rex Dungee","261209056","","","","O","Orlando Regional"
"1","O5426429","ACT","810 E 25TH ST","SANFORD","32771","PHILLIPS TERRACE RUN","2,213","$99,900","2","2","1","1901","None","Single Family Home","$2,735","64","64","","","","$45.14","","","FLORIDA REAL ESTATE PROPERTIES","Joyce Sanders","261067521","","","","O","Orlando Regional"
"1","O5430622","ACT","247 S 3RD ST","LAKE MARY","32746","EVANSDALE","1,075","$119,000","4","2","0","1956","None","Single Family Home","$868","44","44","","","","$110.70","","","MULTHAI INTERNATIONAL REALTY L","Patricia Tanner","261208806","","","","O","Orlando Regional"
"1","O5438588","ACT","283 S 3RD ST","LAKE MARY","32746","EVANSDALE","1,104","$159,900","3","2","0","1971","None","Single Family Home","$527","8","8","","","","$144.84","","","CLASSIC 1 REALTY INC","Ken Ashori","261065742","","","","O","Orlando Regional"
"1","O5424708","ACT","2510 E 46","SANFORD","32771","STEVENS ADD TO MIDWAY","792","$59,000","2","1","0","1947","None","Single Family Home","$751","72","72","","","","$74.49","","","WATSON REALTY CORP","Edyta Olejnik","261083809","","","","O","Orlando Regional"
"1","O5431972","ACT","3880 E 46 STATE RD","GENEVA","32732","DRAMIS ACRES","2,240","$399,000","4","2","1","1989","None","Single Family Home","$2,149","308","38","","","","$178.12","","","RE/MAX PRIME PROPERTIES","Gary Cohl","261074250","","","","O","Orlando Regional"
"1","O5428274","ACT","117 W 5TH ST","CHULUOTA","32766","NORTH CHULUOTA","1,984","$224,900","4","4","0","1986","None","Single Family Home","$1,969","41","41","","","","$113.36","","","SUNFLORIDA REALTY","Zell Sladek","261201011","","","","O","Orlando Regional"
"1","O5419670","ACT","2941 W 5TH ST","SANFORD","32771","SMITHS M M","988","$150,000","3","1","0","1959","None","Single Family Home","$1,011","95","95","","","","$151.82","","","EXIT REAL ESTATE RESULTS","Janice Petteway","261053326","","","","O","Orlando Regional"
"1","O5422022","ACT","1082 ABERDOVEY PT","LAKE MARY,HEATHROW","32746","HEATHROW,KEENWICKE","1,925","$319,000","4","2","0","1998","Private","Single Family Home","$4,270","252","85","","","","$165.71","","","COLDWELL BANKER RESIDENTIAL RE","Michelle O'Callaghan","261072388","","","","O","Orlando Regional"
"1","O5422286","ACT","1310 ADAMS LN","LONGWOOD","32750","LEG SEC 05 TWP 21S RGE 30E W 140 FT OF NE 1/4 OF N","2,188","$219,000","3","2","0","1972","None","Single Family Home","$2,751","82","82","","","","$100.09","","","PREMIUM PROPERTIES R.E SERVICE","Carlos Otero, Jr","261213842","","","","O","Orlando Regional"
"1","O5421982","ACT","220 ADELAIDE BLVD","ALTAMONTE SPRINGS","32701","SANLANDO","1,358","$350,000","2","2","0","1957","None","Single Family Home","$1,564","85","85","","","","$257.73","","","COLDWELL BANKER RESIDENTIAL RE","Brad Merrell","261072051","","","","O","Orlando Regional"
"1","O5430234","ACT","2240 ALAFAYA TRL","OVIEDO","32765","OAK MOUNT SUB","1,000","$234,900","2","1","0","1958","None","Single Family Home","$1,369","43","43","","","","$234.90","","","CORE GROUP REAL ESTATE LLC","Kendra Haywood","261212892","","","","O","Orlando Regional"
"1","O5435219","ACT","2607 ALAMOSA PL","LAKE MARY","32746","CHASE GROVES UNIT 5A","1,650","$224,900","3","2","0","1999","Private","Single Family Home","$2,616","23","23","","","","$136.30","","","SAND DOLLAR REALTY GROUP INC","Robert Arnold, Jr","261061021","","","","O","Orlando Regional"
"1","O5437166","ACT","1260 ALBERTA ST","LONGWOOD","32750","SANLANDO SPRINGS","1,625","$180,000","4","2","0","1963","None","Single Family Home","$1,731","15","15","","","","$110.77","","","VINTAGE REALTY GROUP LLC","Darrell Nunnelley","261009518","","","","O","Orlando Regional"
"1","O5432891","ACT","111 ALBRIGHTON DR","LONGWOOD","32779","WEKIVA HUNT CLUB 1 FOX HUNT SEC 1","1,628","$259,000","3","2","0","1975","Private","Single Family Home","$1,836","30","30","","","","$159.09","","","FLORIDA HOME TEAM REALTY","Jacki Harris","261088043","","","","O","Orlando Regional"
"1","S4830796","ACT","600 ALHAMBRA AVE","ALTAMONTE SPRINGS","32714","BROOKHOLLOW","1,793","$149,900","3","2","0","1979","None","Single Family Home","$2,615","8","8","","","","$83.60","","","EVISTA RESOURCES REALTY INC","Daniel Hernandez","261087092","","","","S","Osceola"
"1","O5428501","ACT","211 ALMADEN CT","WINTER SPRINGS","32708","MOUNT GREENWOOD UNIT 1","1,684","$204,900","3","2","0","1987","None","Single Family Home","$1,369","54","54","","","","$121.67","","","RE/MAX TOWN & COUNTRY REALTY","Paul Ginzl","261002542","","","","O","Orlando Regional"
"1","O5439393","ACT","715 ALTO PL","LAKE MARY","32746","CHASE GROVES UNIT 8","1,821","$209,900","4","2","0","1996","None","Single Family Home","$2,511","4","4","","","","$115.27","","","ASSIST 2 SELL FOUTZ REALTY","Robert Foutz","261085711","","","","O","Orlando Regional"
"1","O5421574","ACT","635 ALTON RD","WINTER SPRINGS","32708","NORTH ORLANDO RANCHES","2,680","$262,900","4","3","0","1985","Private","Single Family Home","$3,300","86","86","","","","$98.10","","","ORLANDO REO PROF I INC","Ronald Gentile","259500897","","","","O","Orlando Regional"
"1","O5432069","ACT","1069 ALVINA LN","OVIEDO","32765","TUSKA RIDGE UNIT 6","3,418","$425,000","5","3","0","1994","Private","Single Family Home","$3,661","37","37","","","","$124.34","","","KELLER WILLIAMS ADVANTAGE RLTY","Jean Scott","261097015","","","","O","Orlando Regional"
"1","O5439128","ACT","425 AMETHYST WAY","LAKE MARY","32746","LAKEWOOD AT THE CROSSINGS UNIT TWO","1,448","$174,900","2","2","0","1986","None","Single Family Home","$1,539","1","1","","","","$120.79","","","KELLER WILLIAMS HERITAGE REALT","Gitta Urbainczyk","261050992","","","","O","Orlando Regional"
"1","V4711533","ACT","2933 AMROTH PL","CASSELBERRY","32707","ORANGE GROVE PARK UNIT 4","1,865","$247,900","4","2","0","1986","None","Single Family Home","$1,914","29","29","","","","$132.92","","","APARO-GRIFFIN PROPERTIES INC","Candiss Armijo","261212500","","","","V","West Volusia"
