"#","ML Number","Status","Address","City","Postal Code","Legal Subdivision Name","Sq Ft Heated","Current Price","Beds","Full Baths","Half Baths","Year Built","Pool","Property Style","Taxes","CDOM","ADOM","Days to Contract","Sold Terms","Close Date","LP/SqFt","SP/SqFt","SP/LP","List Office Name","List Agent Full Name","List Agent ID","Selling Agent Name","Selling Office ID","Selling Agent ID","LSC List Side","Office Primary Board ID"
"1","O5364452","SLD","300 LAUREL CT","SANFORD","32773","HIDDEN LAKE UNIT 1-A REV","1,224","$121,519","3","2","0","1973","None","Single Family Home","$1,487","10","10","10","All Cash","06/17/2015","$103.92","$99.28","0.96","Owners.com","Stephen Sibiga","261201966","Sophia Rogers","261011075","272506390","O","Orlando Regional"
"1","O5361707","SLD","3672 LAUREL AVE","SANFORD","32773","BRENTWOOD","572","$58,500","1","1","0","1930","None","Single Family Home","$423","85","85","85","New FHA","08/13/2015","$102.27","$102.27","1.00","WATSON REALTY CORP","Olena Vlasyuk","261209318","David Glinski","59720","261210911","O","Orlando Regional"
"1","O5357680","SLD","717 LAUREL WAY","CASSELBERRY","32707","STERLING PARK UNIT 01","1,546","$150,000","3","2","0","1972","None","Single Family Home","$1,272","35","35","35","New FHA","06/15/2015","$100.19","$97.02","0.97","EXIT J & R GLOBAL REALTY","Junon Brutus","744041713","Isabel Rolon","50096","261084608","O","Orlando Regional"
"1","O5423366","SLD","736 LAUREL WAY","CASSELBERRY","32707","STERLING PARK UNIT 01","1,481","$201,000","3","2","0","1973","None","Single Family Home","$1,852","21","21","21","New Conventional","04/29/2016","$141.80","$135.72","0.96","WATSON REALTY CORP","Lee Cameron","261016204","Betsy Santiago","261012158","261213395","O","Orlando Regional"
"1","V4709475","SLD","801 S LAUREL AVE","SANFORD","32771","SANFORD TOWN OF","1,380","$41,000","3","2","0","1950","None","Single Family Home","$1,164","14","14","14","All Cash","12/31/2015","$14.93","$29.71","1.99","TOTAL REALTY CORP","Lisa Creson","286001688","Omar Cotto","51957D","261212846","V","West Volusia"
"1","O5366986","SLD","113 LAUREL OAK DR","LONGWOOD","32779","SWEETWATER OAKS SEC 11","2,831","$247,500","5","3","0","1978","None","Single Family Home","$2,746","184","184","193","All Cash","12/17/2015","$90.04","$87.42","0.97","COLDWELL BANKER RESIDENTIAL RE","Gregg Hade","261207111","Derek Hovey","261011983","261203800","O","Orlando Regional"
"1","O5317403","SLD","101 E LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","2,040","$189,900","4","2","0","1959","None","Single Family Home","$1,712","171","171","186","New Conventional","06/08/2015","$93.09","$93.09","1.00","KELLER WILLIAMS ADVANTAGE III","Yogi Ganeshram","261090568","Robert Schott","261010752","261087202","O","Orlando Regional"
"1","O5384545","SLD","107 E LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,567","$185,000","4","2","0","1959","None","Single Family Home","$1,411","6","6","6","New FHA","10/07/2015","$114.17","$118.06","1.03","RE/MAX EXECUTIVE GROUP","Cedrick Williams","261081893","Katie Gersch-Atrat","51122E","261211607","O","Osceola"
"1","O5362373","SLD","117 W LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,252","$147,000","3","2","0","1959","None","Single Family Home","$1,333","5","5","5","New FHA","05/29/2015","$117.41","$117.41","1.00","ASSIST 2 SELL FOUTZ REALTY","Robert Foutz","261085711","Robert Foutz","50965","261085711","O","Orlando Regional"
"1","O5387834","SLD","118 E LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,529","$176,000","4","2","0","1959","Private","Single Family Home","$796","5","5","5","New Conventional","09/23/2015","$114.13","$115.11","1.01","SAND DOLLAR REALTY GROUP INC","Zach Mitchell","261210542","Laura Crawford","261010505","261204955","O","Orlando Regional"
"1","O5369996","SLD","126 E LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,379","$127,000","3","2","0","1959","None","Single Family Home","$810","13","13","13","New FHA","09/04/2015","$86.22","$92.10","1.07","FREDA REALTY, INC.","Matthew Freda","272501485","Edwin Silva","50096","261085768","O","Orlando Regional"
"1","O5406498","SLD","136 W LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,000","$90,000","3","1","0","1959","None","Single Family Home","$723","180","18","18","New Conventional","04/26/2016","$89.90","$90.00","1.00","EXIT REALTY CENTRAL","Edward Johnston","261018081","Edward Johnston","261012258","261018081","O","Orlando Regional"
"1","O5389351","SLD","137 W LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,040","$89,000","3","1","0","1959","None","Single Family Home","$701","14","14","5","All Cash","09/11/2015","$95.19","$85.58","0.90","SELL FAST REALTY, LLC","Kimberlee Frank","478502912","Gregory Banden","50998C","261007360","O","Orlando Regional"
"1","O5394451","SLD","142 W LAUREN CT","FERN PARK","32730","PRAIRIE LAKE MANORS","1,346","$171,000","3","2","0","1960","Private","Single Family Home","$1,538","11","11","11","All Cash","10/16/2015","$129.94","$127.04","0.98","BEST QUICK REALTY INC","Jorge Rodriguez, PA","261065424","Alan Gladding","261012230","261210956","O","Orlando Regional"
"1","S4825348","SLD","509 LAVON DR","ALTAMONTE SPRINGS","32701","WALKERS ADD TO ALTAMONTE SPGS 2","1,631","$117,000","3","2","0","1970","None","Single Family Home","$1,916","65","65","79","All Cash","05/11/2016","$82.88","$71.74","0.87","BHHS RESULTS REALTY","Jeffrey Perry","272500203","Derek Hovey","261011983","261203800","S","Osceola"
"1","O5393120","SLD","1500 LAWNDALE CIR","WINTER PARK","32792","COUNTRY LANE","1,808","$156,000","3","2","1","1984","Private","Single Family Home","$1,840","70","70","84","All Cash","01/15/2016","$96.74","$86.28","0.89","RE/MAX 200 REALTY","Kara Money","261084075","Thomas Holland","54580","261062852","O","Orlando Regional"
"1","O5372189","SLD","1560 LAWNDALE CIR","WINTER PARK","32792","COUNTRY LANE","1,415","$186,000","3","2","0","1986","None","Single Family Home","$1,432","2","2","2","New Conventional","07/31/2015","$134.20","$131.45","0.98","Keller Williams Heritage Realt","Caroline Moffitt","261010631","Michael Kintz","55912A","261208032","O","Orlando Regional"
"1","O5367207","SLD","1577 LAWNDALE CIR","WINTER PARK","32792","COUNTRY LANE","1,676","$206,500","3","2","0","1984","None","Single Family Home","$1,583","3","3","4","New FHA","07/28/2015","$116.35","$123.21","1.06","WATSON REALTY CORP","Fran Zvaigzne","261208575","Mark Adams","56037","261202700","O","Orlando Regional"
